2026-04-04 00:51:13,109 | INFO | bronze.adzuna_bronze_reader | 📂 Reading bronze data
2026-04-04 00:51:13,110 | INFO | bronze.adzuna_bronze_reader | 📅 date_path=2026/04/03
2026-04-04 00:51:13,112 | INFO | bronze.adzuna_bronze_reader | 📁 source_path=s3a://data-lake/bronze/adzuna/2026/04/03/*.json
2026-04-04 00:52:39,530 | INFO | bronze.adzuna_bronze_reader | 📂 Reading bronze data
2026-04-04 00:52:39,531 | INFO | bronze.adzuna_bronze_reader | 📅 date_path=2026/04/03
2026-04-04 00:52:39,532 | INFO | bronze.adzuna_bronze_reader | 📁 source_path=s3a://data-lake/bronze/adzuna/2026/04/03/*.json
2026-04-04 01:09:23,076 | INFO | bronze.adzuna_bronze_reader | 📂 Reading bronze data
2026-04-04 01:09:23,076 | INFO | bronze.adzuna_bronze_reader | 📅 date_path=2026/04/03
2026-04-04 01:09:23,077 | INFO | bronze.adzuna_bronze_reader | 📁 source_path=s3a://data-lake/bronze/adzuna/2026/04/03/*.json
2026-04-04 01:20:09,880 | INFO | bronze.adzuna_bronze_reader | 📂 Reading bronze data
2026-04-04 01:20:09,880 | INFO | bronze.adzuna_bronze_reader | 📅 date_path=2026/04/03
2026-04-04 01:20:09,881 | INFO | bronze.adzuna_bronze_reader | 📁 source_path=s3a://data-lake/bronze/adzuna/2026/04/03/*.json
2026-04-04 05:29:11,854 | INFO | bronze.adzuna_bronze_reader | 📂 Reading bronze data
2026-04-04 05:29:11,856 | INFO | bronze.adzuna_bronze_reader | 📅 date_path=2026/04/03
2026-04-04 05:29:11,857 | INFO | bronze.adzuna_bronze_reader | 📁 source_path=s3a://data-lake/bronze/adzuna/2026/04/03/*.json
2026-04-04 05:39:13,568 | INFO | bronze.adzuna_bronze_reader | 📂 Reading bronze data
2026-04-04 05:39:13,570 | INFO | bronze.adzuna_bronze_reader | 📅 date_path=2026/04/03
2026-04-04 05:39:13,571 | INFO | bronze.adzuna_bronze_reader | 📁 source_path=s3a://data-lake/bronze/adzuna/2026/04/03/*.json
